CO_UNIDADE;CO_END_COMPL;NO_IDENTIFICACAO;TP_LOGR;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_MUNICIPIO;NO_DDD_TEL;NU_TELEFONE;NO_EMAIL;CO_USUARIO
3520450000000;1;FARMACIA MUNICIPAL;63;PRADO;102;;ZONA NORTE;15385000;352044;18;37422491;;FRANK
3520450000000;2;VIGILANCIA SANITARIA MUNICIPAL;561;CRISTALINA;130;;ZONA NORTE;15385000;352044;18;37424354;;FRANK
3520450000000;3;CENTRO DE CONTROLE DE ZOONOSES;561;PROJETADA QUADRA C LOTE 09 - PEQUENOS ANIMAIS;9;QUADR C LT 9 PQ ANIM;CINTURAO VERDE;15385000;352044;18;37436077;;FRANK
3141700000000;5;SERVICO DE FISIOTERAPIA;81;MONSENHOR ALIPIO;525;;CENTRO;35116000;314170;;;;MESQUITA
5211810000000;1;PONTO DE APOIO DISTRITO ALVELANDIA;65;PRACA DA MATRIZ;SN;;ZONA RURAL;76330000;521180;;;;SAUDE
5211810000000;2;PONTO DE APOIO SANTA BARBARA;81;DO COMERCIO;SN;;ZONA RUAL;76330000;521180;;;;SAUDE
3304520000000;1;CLINICA MATER DEI;81;RIO DE JANEIRO;192;;EXTENSAO DO BOSQUE;28893334;330452;22;27765450;laboratorio.pedrosa@gmail.com;SEMUSA
3536500000000;1;HOSPITAL MUNICIPAL DE PAULINIA;81;MIGUEL VICENTE CURY;100;;NOVA PAULINIA;13140295;353650;19;38745500;;GESTOR
3132910000000;1;VIGILANCIA SANITARIA;81;ANTONIA TORRE LOGUERCIO;45;;CENTRO;37973000;313290;;;;PATRICIA
2313500000000;1;HOSPITAL JOSE GRANJA RIBEIRO URGENCIA E EMERGENCIA;561;CEL JOSE ARAGAO;S/N;;BOA ESPERANCA;62690000;231350;85;33511300;;231350
2313500000000;2;HOSPITAL JOSE GRANJA RIBEIRO CENTRO DE PARTO NORMAL;561;DR JOSE DA SILVEIRA;S/N;;CENTRO;62690000;231350;85;33511300;;231350
2800300000000;1;HOSPITAL DA POLICIA MILITAR;8;MINAS GERAIS;1-123;;DEZOITO DO FORTE;49072470;280030;79;32341885;;SAUDE
2306300000000;1;BOM JESUS;92;BOM JESUS;SN;;ZONA RURAL;62600000;230630;;;;ITAPAGE
4113200000000;1;MINI POSTO RIO DA VARZEA;713;RIO DA VARZEA;S/N;;ZONA RURAL;83750000;411320;;;;LAPA01
3525900000000;1;HCSVP- HOSPITAL SAO VICENTE HOSPITAL DE CAMPANHA COVID 19;90;RODOVIA ANHANGUERA S/N;S/N;12 GAC- QUARTEL;VILA MILITAR;13203850;352590;11;45838155;DIRETORIA@HSVICENTE.ORG.BR;ALEXANDRE
2910770000000;1;POSTO SATELITE;81;2 DE JULHO;SN;CASA;CENTRO;46446000;291077;77;34512470;;FEIRADAMATA
3170400000000;1;CENTRO DE ATENDIMENTO COVID 19;8;ALCINO JOSE DA ROCHA;S/N;;NOVA CANAA;38616395;317040;38;36768013;;SAUDE
4119310000000;1;POSTO DE SAUDE DE DOIS IRMAOS;81;RUA MIGUEL RIOS KITCKI;SN;PR170-KM55;DOIS IRMAOS;85170000;411930;;;;MARCIO
3301880000000;1;RT DE IGUABA;81;LIDIA RAPOSO;123;;IGUABELA;28960000;330187;;;;330187
2607900000000;1;CMEI PROF MARIA DE FATIMA SILVA;81;ITAITUBA;SN;;JARDIM PRAZERES;54340060;260790;;;;ALLANY
5006280000000;1;SERVICO DE APOIO AO ENFRENTAMENTO DO COVID-19;561;MANOEL VICENTE DE SOUZA,;62;;CENTRO;79556000;500627;67;32481053;succhy14@gmail.com;SAUDE
2409910000000;1;UNIDADE DE VIGILANCIA EM SAUDE;81;MANOEL ROQUE;76;;PENDENCIAS DE CIMA;59504000;240990;;;;240990
2906010000000;1;POSTO DE SAUDE DE PAUZINHOS;65;POVOADO DE SAQUINHO DOS PAUZINHOS;S/N;;ZONA RURAL;44790000;290600;;;;CAMPOFORMOSO
2906010000000;2;POSTO DE SAUDE PEDRO BARBOSA DA SILVA;65;POVOADO DE MUCAMBO;S/N;;ZONA RURAL;44790000;290600;;;;CAMPOFORMOSO
5004300000000;1;UNIFIG- UNIAO DOS DEFICIENTES FISICOS DE IGUATEMI;655;JARDELINO JOSE MOREIRA;2069;;CENTRO;79960000;500430;;;;SAUDE
5104810000000;1;DISTRITO DE CELMA;28;DE CELMA;S/N;;ZONA RURAL;78820000;510480;;;;ALLANA
1304200000000;8;CENTRO COMUNITARIO RURAL;713;CAIAMBE;S/N;;ZONA RURAL;69559000;130420;;;;CNES
5004300000000;2;PAM- PRONTO ATENDIMENTO MÉDICO;655;GELSON ANDRADE MOREIRA;1003;;CENTRO;79960000;500430;67;34711123;;SAUDE
4119900000000;1;UNIDADE DE SAUDE WILSON DE JESUS BATISTA FILHO;21;COLONIA SUTIL E COLONIA SANTA CRUZ;S/N;ZONA RURAL;GUARAGI;84010100;411990;42;32201020;;DOUGLAS
